Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,2.434654,2.308873,3.049565,0.311099,9.075819,3.372230,1.027660,2.329721,1.079629,0.296969,2.528622,4.623099,9.867061,10.702479,10.108568,16.270035,10.329361,7.933297,13.334801,8.159502,6.258291,9.758650
2,2.140354,2.220816,2.812809,0.311099,8.256139,2.877644,1.027660,2.230470,0.943236,0.068226,2.288845,3.261669,4.575247,5.521767,5.894682,13.618531,4.835274,3.067828,7.101927,2.794635,1.788167,5.245973
3,2.140354,1.818427,2.782243,0.311099,8.256139,1.471322,0.250254,1.760148,0.943236,0.068226,1.980145,2.665865,2.918066,3.138956,2.702299,10.792541,2.852390,1.201553,5.016351,1.428579,0.310267,3.302687
4,1.606866,1.803208,2.739916,0.311099,8.254390,1.471322,0.035722,0.640339,0.901313,0.030119,1.779430,2.303075,2.296551,2.926079,1.775367,9.664716,2.318712,0.443387,2.153937,1.062557,0.200130,2.514451
5,0.850364,1.139741,2.044462,0.311099,7.292405,1.258415,0.035722,0.350468,0.561313,0.030119,1.387411,1.875036,1.862866,2.842950,1.010523,8.380276,1.854360,0.173524,1.070711,0.921341,0.120999,2.011259
6,0.850364,0.669891,1.621152,0.311099,6.962333,1.089094,0.002503,0.350468,0.282335,0.003231,1.214247,1.386730,1.614581,2.382622,0.709647,7.841800,1.527510,0.089429,0.720866,0.703120,0.084933,1.706124
7,0.515892,0.669891,1.621152,0.311099,5.992703,1.089094,0.000580,0.076029,0.172075,0.001859,1.045038,1.115203,1.398778,2.066714,0.506203,7.340342,1.360816,0.052622,0.440730,0.467670,0.052192,1.480127
8,0.306421,0.600869,1.540555,0.245593,5.865354,1.087612,0.000580,0.076029,0.172075,0.001724,0.989681,0.907760,1.157981,2.037758,0.422476,6.926569,1.363553,0.034596,0.258418,0.383061,0.029913,1.352209
9,0.181529,0.496151,1.311021,0.245593,5.119007,1.087612,0.000580,0.076029,0.033359,0.001724,0.855261,0.602536,0.902007,1.713969,0.411507,6.262873,1.282287,0.030922,0.160918,0.265066,0.020964,1.165305
10,0.181529,0.455818,1.311021,0.245593,5.119007,1.087612,0.000580,0.048777,0.033359,0.001724,0.848502,0.447489,0.736331,1.541352,0.383854,5.960538,1.273779,0.042634,0.109769,0.240298,0.028717,1.076476
11,0.154816,0.455818,1.040187,0.202720,5.086496,0.802339,0.000580,0.019457,0.033359,0.001724,0.779750,0.345816,0.565801,1.368587,0.313788,5.547319,1.180566,0.020072,0.089940,0.186376,0.005913,0.962418
12,0.154816,0.203009,1.040187,0.202720,4.741416,0.802339,0.000255,0.019457,0.012851,0.001115,0.717816,0.290829,0.491587,1.288155,0.349319,5.171364,1.132868,0.010271,0.080241,0.118016,0.011941,0.894459
13,0.102212,0.163533,0.693942,0.202478,4.560210,0.802339,0.000255,0.019457,0.012851,0.001115,0.655839,0.204369,0.423052,1.144079,0.343336,5.168471,1.072880,0.004782,0.070820,0.051274,0.014388,0.849745
14,0.102212,0.163533,0.679255,0.046507,3.298403,0.802339,0.000255,0.006198,0.007662,0.000152,0.510652,0.142921,0.375183,0.941411,0.208862,4.661205,1.054265,0.009603,0.055048,0.034311,0.013411,0.749622
15,0.052139,0.163533,0.550576,0.033441,3.298403,0.772379,0.000255,0.004218,0.007662,0.000152,0.488276,0.101925,0.341559,0.867611,0.182135,4.622355,1.003179,0.011095,0.031783,0.028373,0.012187,0.720220
16,0.016725,0.163533,0.494594,0.033441,2.974549,0.772379,0.000255,0.001757,0.007662,0.000152,0.446505,0.083773,0.277075,0.667724,0.189696,4.162395,0.862028,0.007127,0.022827,0.033897,0.001355,0.630790
17,0.016725,0.046225,0.269009,0.033441,2.974549,0.395485,0.000255,0.001757,0.007662,0.000152,0.374526,0.091785,0.232442,0.563339,0.143391,3.956023,0.771582,0.016989,0.016631,0.034033,0.001125,0.582734
18,0.016725,0.046225,0.269009,0.016533,2.297913,0.395485,0.000255,0.001350,0.006285,0.000077,0.304986,0.066867,0.143186,0.501884,0.081007,3.705530,0.671824,0.001695,0.009717,0.023637,0.000894,0.520624
19,0.014492,0.046225,0.269009,0.004506,2.297913,0.152939,0.000255,0.001350,0.006285,0.000035,0.279301,0.038124,0.122094,0.431700,0.048798,3.047132,0.493143,0.001594,0.007087,0.010742,0.007092,0.420751
20,0.009258,0.015139,0.114656,0.004506,1.725451,0.152939,0.000255,0.001350,0.005851,0.000035,0.202944,0.019876,0.077731,0.380624,0.036774,2.635922,0.351993,0.001442,0.006383,0.012244,0.006691,0.352968
21,0.009258,0.009710,0.114656,0.004506,1.725451,0.152939,0.000255,0.001350,0.005851,0.000002,0.202398,0.043439,0.033731,0.296126,0.026486,2.501264,0.309829,0.001373,0.002573,0.008154,0.000213,0.322319
22,0.007799,0.007204,0.114656,0.004506,1.725451,0.063979,0.000255,0.001350,0.005850,0.000002,0.193105,0.031340,0.027712,0.264202,0.004936,2.292798,0.257617,0.001295,0.006168,0.006635,0.000033,0.289274
23,0.006502,0.003208,0.068956,0.004505,1.725451,0.063979,0.000255,0.001350,0.005849,0.000001,0.188006,0.018873,0.019141,0.230188,0.012478,2.105646,0.136367,0.001294,0.015811,0.015997,0.006320,0.256211
24,0.003172,0.000478,0.068956,0.004505,1.725451,0.004693,0.000255,0.001350,0.005849,0.000001,0.181471,0.010200,0.017388,0.182654,0.004939,2.016055,0.077656,0.006733,0.011758,0.015949,0.000005,0.234334
25,0.001314,0.000324,0.068956,0.004505,1.262820,0.004693,0.000255,0.000434,0.005849,0.000001,0.134915,0.024822,0.010580,0.190469,0.004567,1.757682,0.067142,0.006733,0.014095,0.005943,0.006246,0.208828
26,0.000773,0.000324,0.000176,0.004505,1.262820,0.004693,0.000255,0.000434,0.005849,0.000001,0.127983,0.033402,0.002309,0.097464,0.004535,1.616488,0.054158,0.001294,0.013270,0.005887,0.000005,0.182881
27,0.000602,0.000306,0.000176,0.004505,1.262820,0.004693,0.000255,0.000278,0.005849,0.000001,0.127949,0.020047,0.001411,0.060817,0.004532,1.613765,0.060599,0.012173,0.010950,0.005886,0.012480,0.180266
28,0.000602,0.000306,0.000176,0.004505,0.933256,0.004693,0.000255,0.000278,0.005849,0.000001,0.094992,0.001773,0.006244,0.042679,0.007491,1.393979,0.042937,0.005938,0.009723,0.005850,0.000002,0.151662
29,0.000602,0.000264,0.000176,0.004505,0.925789,0.004693,0.000255,0.000278,0.005849,0.000001,0.094241,0.001129,0.000405,0.043186,0.014082,1.229160,0.031870,0.006733,0.011411,0.005849,0.000002,0.134383
30,0.000602,0.000239,0.000176,0.004505,0.918150,0.004693,0.000255,0.000278,0.005849,0.000001,0.093475,0.000738,0.007348,0.026677,0.004520,1.082761,0.018851,0.001322,0.005835,0.015331,0.000002,0.116338
31,0.000516,0.000239,0.000176,0.004505,0.616099,0.004693,0.000255,0.000278,0.005849,0.000001,0.063261,0.005678,0.007338,0.014058,0.004513,0.989891,0.015682,0.005945,0.007688,0.008347,0.012433,0.107157
32,0.000275,0.000228,0.000176,0.004505,0.599245,0.004693,0.000255,0.000278,0.005849,0.000001,0.061551,0.006017,0.012610,0.012636,0.004512,0.836142,0.025135,0.001924,0.000481,0.010844,0.003232,0.091353
33,0.000275,0.000226,0.000176,0.004505,0.450753,0.004693,0.000255,0.000278,0.001351,0.000001,0.046251,0.005806,0.006076,0.003562,0.004510,0.700625,0.012686,0.006701,0.005514,0.007897,0.009480,0.076286
34,0.000275,0.000226,0.000176,0.004505,0.371667,0.004693,0.000255,0.000278,0.001351,0.000001,0.038343,0.000547,0.000252,0.009691,0.007472,0.627863,0.012619,0.001244,0.005806,0.017378,0.002217,0.068509
35,0.000275,0.000225,0.000176,0.004505,0.371667,0.004693,0.000255,0.000278,0.000578,0.000001,0.038265,0.000541,0.007246,0.001868,0.004509,0.574456,0.011582,0.001188,0.005803,0.012372,0.008474,0.062804
36,0.000275,0.000225,0.000176,0.004505,0.318263,0.004693,0.000255,0.000100,0.000578,0.000001,0.032907,0.000533,0.011959,0.006299,0.010068,0.529546,0.011051,0.001175,0.000610,0.003114,0.002217,0.057657
37,0.000275,0.000225,0.000176,0.004364,0.318263,0.004693,0.000255,0.000100,0.000234,0.000001,0.032859,0.007583,0.011948,0.006190,0.007459,0.474703,0.010815,0.001167,0.007618,0.001589,0.006193,0.053526
38,0.000275,0.000225,0.000176,0.004364,0.175899,0.004693,0.000255,0.000100,0.000234,0.000001,0.018622,0.005887,0.000230,0.006301,0.016305,0.407579,0.016895,0.007900,0.011570,0.006527,0.006259,0.048545
39,0.000275,0.000225,0.000176,0.004333,0.081729,0.004693,0.000255,0.000100,0.000234,0.000001,0.009202,0.007622,0.012642,0.008189,0.007402,0.226701,0.034633,0.007900,0.011873,0.000872,0.006193,0.032403
40,0.000275,0.000225,0.000176,0.004333,0.081729,0.002089,0.000255,0.000100,0.000234,0.000001,0.008942,0.000529,0.005727,0.000665,0.007357,0.175530,0.015357,0.012630,0.000507,0.005392,0.006193,0.022989
