Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,1.603727,3.437532,1.426572,1.817602,3.102131,0.020452,4.306597,2.585253,3.970673,1.846126,2.411667,7.913596,14.130733,10.654626,6.927364,11.633584,3.657605,13.595055,5.358493,11.823421,3.882351,8.957683
2,1.603727,0.544296,0.567064,0.053565,3.102131,0.004806,3.916676,2.371852,0.352645,1.629994,1.414676,3.582976,3.500730,6.588782,3.487814,6.410205,1.118897,7.630804,3.254719,3.234117,2.168615,4.097766
3,1.603727,0.544296,0.393763,0.019992,2.140005,0.000674,3.916676,2.010786,0.352645,0.736594,1.171916,2.996463,2.513739,2.166864,1.719785,4.040226,0.249455,6.082102,2.625652,1.787594,1.688527,2.587041
4,1.603727,0.518533,0.393763,0.000433,0.371842,0.000242,3.916676,1.886259,0.202750,0.646316,0.954054,2.603071,1.482350,0.748006,0.677976,2.391447,0.086041,5.686575,2.494220,0.877439,1.235951,1.828308
5,1.603727,0.127814,0.393763,0.000433,0.371842,0.000242,3.916676,1.230975,0.060784,0.646316,0.835257,2.106466,0.774865,0.578156,0.175108,1.363841,0.037186,5.364254,2.078100,0.640735,1.042679,1.416139
6,1.603727,0.127814,0.279518,0.000433,0.293651,0.000242,3.052237,1.230975,0.060784,0.565619,0.721500,2.005717,0.725626,0.463942,0.076377,0.518311,0.018889,4.747289,1.901546,0.233453,0.859415,1.155056
7,1.603727,0.023422,0.279518,0.000433,0.203085,0.000242,3.052237,1.230975,0.060784,0.536060,0.699048,2.035309,0.481304,0.409975,0.041766,0.413074,0.009712,4.387638,1.931273,0.202657,0.702825,1.061553
8,1.603727,0.023422,0.266684,0.000433,0.182781,0.000242,3.052237,1.230975,0.060784,0.536060,0.695734,1.947933,0.347104,0.402074,0.030284,0.366886,0.009477,4.216742,1.770095,0.154425,0.659909,0.990493
9,1.542500,0.002463,0.109492,0.000433,0.182781,0.000242,3.052237,1.230975,0.059163,0.449122,0.662941,1.829818,0.198863,0.330903,0.021073,0.330056,0.004680,3.982771,1.666648,0.131125,0.575892,0.907183
10,1.201698,0.002463,0.109492,0.000433,0.151678,0.000242,2.417106,1.230975,0.055719,0.449122,0.561893,1.677349,0.094634,0.288600,0.017882,0.257335,0.003965,3.701787,1.636063,0.117305,0.587418,0.838234
11,1.201698,0.002463,0.078207,0.000433,0.033488,0.000242,2.417106,1.230975,0.051320,0.368708,0.538464,1.675662,0.030239,0.212237,0.013542,0.206676,0.002195,3.180026,1.527442,0.106703,0.549904,0.750463
12,1.201698,0.000378,0.078207,0.000433,0.033488,0.000242,2.417106,0.894921,0.051320,0.330198,0.500799,1.601250,0.012315,0.164869,0.011262,0.147541,0.001855,3.245620,1.490222,0.077655,0.524390,0.727698
13,1.196024,0.000378,0.078207,0.000433,0.033488,0.000242,2.417106,0.894921,0.051320,0.330198,0.500232,1.611193,0.013781,0.145077,0.008810,0.139442,0.017446,3.165831,1.274895,0.075938,0.460576,0.691299
14,0.998664,0.000100,0.078207,0.000433,0.028836,0.000242,2.417106,0.894921,0.017155,0.086358,0.452202,1.440230,0.010787,0.122055,0.005235,0.102280,0.013808,2.807698,1.276946,0.056052,0.358156,0.619325
