Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,1.648289,2.373186,2.112458,9.339733,0.433419,1.948989,3.612094,0.244551,0.093582,0.424152,2.223045,3.647270,5.309988,6.882524,13.728912,1.748682,4.093131,6.113787,4.645572,8.671326,1.717925,5.655912
2,0.400857,0.676712,0.409412,7.554158,0.277827,1.174389,2.583325,0.244551,0.093582,0.424152,1.383897,1.606879,2.513559,2.108621,9.570625,0.585103,2.378235,3.455931,1.265297,1.256370,0.797400,2.553802
3,0.400857,0.676712,0.409412,7.234785,0.122180,1.052917,0.714481,0.113731,0.093582,0.162747,1.098140,0.712825,0.868467,1.485354,7.849825,0.370094,1.994354,2.029389,0.408014,0.219017,0.396055,1.633339
4,0.274030,0.676712,0.409412,6.516661,0.122180,1.052917,0.211500,0.113731,0.082408,0.068405,0.952796,0.488586,0.763658,0.586449,7.432177,0.307763,1.460161,0.659439,0.233956,0.102543,0.221924,1.225666
5,0.274030,0.480714,0.261428,5.770661,0.066268,1.052917,0.012712,0.113627,0.081923,0.046684,0.816096,0.365988,0.609807,0.420642,6.917458,0.183217,1.114173,0.296073,0.139215,0.091752,0.132262,1.027059
6,0.254761,0.314186,0.261428,5.632695,0.066268,0.538303,0.012712,0.096635,0.081119,0.046684,0.730479,0.304559,0.490168,0.345877,6.186902,0.135918,0.929296,0.188639,0.109602,0.089926,0.082102,0.886299
7,0.134681,0.167619,0.261428,4.742742,0.017195,0.538303,0.012712,0.007298,0.023957,0.040677,0.594661,0.252240,0.373517,0.293810,5.635264,0.088643,0.759104,0.134957,0.077937,0.081457,0.056993,0.775392
8,0.082289,0.070147,0.090990,4.640749,0.017195,0.235128,0.012712,0.000115,0.023957,0.031650,0.520493,0.182973,0.242676,0.251113,5.331715,0.072889,0.556394,0.062741,0.039185,0.070495,0.041785,0.685197
9,0.082289,0.054412,0.082756,3.866256,0.010327,0.148726,0.012712,0.000115,0.022928,0.013469,0.429399,0.120884,0.158906,0.227608,4.756188,0.041905,0.362546,0.032041,0.034260,0.061692,0.031799,0.582783
10,0.070333,0.054412,0.082756,3.171664,0.010327,0.099521,0.011323,0.000115,0.002390,0.013219,0.351606,0.097649,0.117548,0.184485,4.316176,0.029755,0.225443,0.021045,0.009314,0.035958,0.025561,0.506293
11,0.070333,0.054412,0.065209,3.171664,0.003288,0.069108,0.011075,0.000025,0.002390,0.008412,0.345592,0.090085,0.085125,0.114362,3.943573,0.014950,0.158660,0.018069,0.003124,0.021663,0.012661,0.446227
12,0.070333,0.052889,0.065209,3.171664,0.003288,0.044895,0.011075,0.000025,0.001673,0.008412,0.342946,0.086601,0.064237,0.096028,3.838839,0.007866,0.099425,0.014469,0.000461,0.014169,0.011544,0.423364
13,0.010453,0.019485,0.005108,3.026722,0.002211,0.020724,0.005074,0.000025,0.000521,0.008412,0.309874,0.076496,0.054374,0.074553,3.617037,0.005194,0.068935,0.009886,0.000079,0.005688,0.011526,0.392377
14,0.010453,0.012591,0.000174,2.965414,0.000511,0.020724,0.003548,0.000025,0.000521,0.008261,0.302222,0.071800,0.043082,0.047609,3.257865,0.002929,0.049880,0.006522,0.000047,0.002508,0.010322,0.349256
15,0.006065,0.012591,0.000174,2.965414,0.000511,0.001255,0.003548,0.000025,0.000521,0.008261,0.299837,0.062452,0.036635,0.031468,3.145746,0.002434,0.031955,0.004495,0.000042,0.001294,0.009108,0.332563
