Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,3.287158,2.114340,0.010984,0.569388,0.421195,1.099765,1.109937,12.438546,5.875164,2.372975,2.929945,7.917212,5.937006,4.803492,5.465778,4.108263,7.358829,9.593574,21.054291,12.820481,7.880102,8.693903
2,0.005962,0.350520,0.010984,0.569388,0.107272,0.547617,1.109937,11.786269,4.885380,2.137107,2.151044,2.493934,3.571694,0.776598,2.105736,0.955963,1.740326,4.100348,16.875661,7.293122,4.171035,4.408442
3,0.005962,0.350520,0.010984,0.220853,0.090865,0.491178,0.634054,10.554578,4.280763,1.950439,1.859020,0.789795,1.724135,0.306180,0.851134,0.651724,0.799135,1.589850,13.747541,5.415180,2.548943,2.842362
4,0.005962,0.350520,0.010984,0.122060,0.067226,0.491178,0.605109,9.236548,3.847266,1.881157,1.661801,0.289664,1.236554,0.029489,0.503043,0.226137,0.644248,1.045021,11.352726,4.977779,2.163002,2.246766
5,0.005179,0.350520,0.010162,0.122060,0.033390,0.293944,0.240629,7.623944,3.847266,1.427445,1.395454,0.034876,1.019263,0.021698,0.357155,0.109182,0.523705,0.734155,9.805718,4.416621,1.936211,1.895858
6,0.005179,0.350520,0.010162,0.025798,0.033390,0.226034,0.240629,7.068817,3.062523,1.307108,1.233016,0.025064,0.814363,0.019639,0.218983,0.091756,0.423562,0.558405,8.312844,3.959154,1.765472,1.618924
7,0.005179,0.350520,0.005617,0.025798,0.004160,0.226034,0.240629,6.752080,3.062523,1.094500,1.176704,0.030027,0.647795,0.017296,0.136870,0.066097,0.319311,0.428395,7.495837,3.618183,1.473266,1.423308
8,0.004184,0.350520,0.004241,0.022773,0.004160,0.226034,0.238388,6.752080,3.062523,1.094500,1.175940,0.011347,0.517222,0.009272,0.110044,0.039114,0.251124,0.338072,7.219873,3.413084,1.346940,1.325609
9,0.004184,0.286518,0.002833,0.022773,0.001234,0.062281,0.102068,6.611755,2.287131,1.094500,1.047528,0.026240,0.417884,0.006964,0.132028,0.025462,0.210474,0.298233,6.851997,3.077755,1.253337,1.230037
10,0.002737,0.181922,0.002833,0.022773,0.001234,0.062281,0.102068,6.611755,2.118639,0.655909,0.976215,0.012870,0.331955,0.018375,0.092887,0.020671,0.204166,0.244779,6.738935,2.740931,1.141913,1.154748
11,0.001152,0.181922,0.002833,0.017879,0.000429,0.005800,0.080377,6.531641,1.463807,0.655909,0.894175,0.018812,0.290922,0.006155,0.060306,0.013887,0.146006,0.178457,6.685482,2.465638,1.030863,1.089653
12,0.000696,0.077074,0.002755,0.005123,0.000429,0.005800,0.016973,6.531641,1.463807,0.417375,0.852167,0.010356,0.260108,0.005481,0.033255,0.012081,0.100194,0.102382,6.709653,2.185981,0.822283,1.024177
