Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,7.705202,5.289523,2.976836,3.207684,1.259037,0.024940,0.036859,5.647042,3.812741,0.474080,3.043395,57.551465,67.908993,83.358583,29.712535,11.751703,54.430083,46.284964,14.496960,11.062762,28.996057,40.555410
2,2.276125,4.428244,1.097671,0.229283,0.156933,0.024940,0.036859,0.257621,3.812741,0.474080,1.279450,20.424060,11.537268,16.284462,4.984608,2.867173,16.521358,3.745780,6.440256,8.327075,10.242622,10.137466
3,0.474373,4.428244,0.599633,0.229283,0.156933,0.024940,0.036859,0.257621,1.287128,0.474080,0.796910,4.030220,6.449472,2.538993,0.790242,1.368169,6.786040,0.237830,5.794536,5.739523,4.249521,3.798455
4,0.474373,4.428244,0.599633,0.135190,0.001990,0.024940,0.036859,0.257621,0.155860,0.474080,0.658879,1.547092,5.416591,1.254162,0.226425,0.663624,1.955995,0.047647,5.470066,2.043799,2.834913,2.146031
5,0.474373,4.199528,0.599633,0.135190,0.001990,0.024940,0.034304,0.257621,0.032840,0.474080,0.623450,0.780110,4.716298,0.873030,0.167695,0.169408,0.991088,0.036453,3.985684,0.670062,1.616267,1.400609
6,0.454336,3.965435,0.599633,0.134104,0.001990,0.024940,0.034304,0.257621,0.032840,0.474080,0.597928,0.516339,4.309288,0.799848,0.141492,0.106672,0.362420,0.035936,2.872542,0.206708,0.778538,1.012978
7,0.454336,3.960889,0.599633,0.133853,0.001990,0.024940,0.034304,0.257621,0.017852,0.474080,0.595950,0.477553,4.107363,0.760108,0.137362,0.084522,0.185187,0.034631,0.257621,0.047336,0.584446,0.667613
8,0.454336,3.960889,0.599633,0.130232,0.001990,0.024940,0.034304,0.257621,0.017852,0.474080,0.595588,0.464951,4.011949,0.652940,0.133965,0.012385,0.081466,0.034348,0.257621,0.033154,0.512241,0.619502
9,0.454336,3.960889,0.599633,0.130232,0.001990,0.024940,0.034300,0.257621,0.017852,0.474080,0.595587,0.458958,3.974484,0.608267,0.131470,0.004658,0.035197,0.034311,0.257621,0.022154,0.483394,0.601051
10,0.454333,3.960889,0.599610,0.130077,0.001990,0.024940,0.034300,0.257621,0.017852,0.474080,0.595569,0.454985,3.964499,0.601430,0.130396,0.002980,0.027640,0.034306,0.257621,0.018898,0.476506,0.596926
11,0.454333,3.960889,0.599610,0.130077,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.595569,0.454577,3.963755,0.599645,0.130250,0.002246,0.025942,0.034301,0.257621,0.017896,0.474080,0.596031
12,0.454333,3.960889,0.599610,0.130077,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.595569,0.454363,3.962549,0.599612,0.130222,0.002057,0.024992,0.034299,0.257621,0.017856,0.474080,0.595765
13,0.454333,3.960889,0.599610,0.130077,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.595569,0.454335,3.961851,0.599611,0.130159,0.001990,0.024940,0.034298,0.257621,0.017852,0.474080,0.595674
14,0.203633,3.960889,0.599610,0.130075,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.429264,3.961560,0.599610,0.130089,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.593130
15,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.366417,3.961216,0.599610,0.130076,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.586810
16,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.253968,3.961099,0.599610,0.130075,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.575553
17,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.961038,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570514
18,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960907,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570500
19,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960894,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499
20,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960891,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499
21,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960890,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499
22,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499
23,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499,0.203633,3.960889,0.599610,0.130074,0.001990,0.024940,0.034297,0.257621,0.017852,0.474080,0.570499
