Generation,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF,Run 1 ACP,Run 2 ACP,Run 3 ACP,Run 4 ACP,Run 5 ACP,Run 6 ACP,Run 7 ACP,Run 8 ACP,Run 9 ACP,Run 10 ACP,Average ACP
1,10.761532,0.272478,5.662758,0.185130,0.060908,3.480206,18.942081,2.465539,1.466528,9.747935,5.304510,61.409964,19.599015,30.294682,38.798596,19.690565,41.196094,62.945283,29.963437,34.695336,27.753652,36.634663
2,1.715056,0.272478,3.362424,0.011869,0.012554,3.480206,4.844128,1.871861,0.680051,9.747935,2.599856,21.233205,2.672816,13.254913,0.791248,0.752961,9.093908,22.238204,5.894642,6.323591,16.317605,9.857309
3,0.068961,0.272478,2.234401,0.011869,0.012554,2.683439,4.698569,1.282866,0.680051,9.747935,2.169312,5.180474,0.936377,3.642063,0.079784,0.319769,3.949857,7.034082,2.472142,1.819283,11.326208,3.676004
4,0.068961,0.272478,2.234401,0.011869,0.000832,2.683439,4.698569,1.282866,0.680051,9.747935,2.168140,0.849519,0.793131,2.733900,0.033587,0.079573,3.409185,5.546010,1.568879,0.933450,10.198865,2.614610
5,0.068961,0.272478,2.234401,0.011869,0.000026,2.683439,4.667553,0.090539,0.680051,5.257696,1.596701,0.272307,0.547394,2.499027,0.024939,0.010859,3.190356,4.903484,1.064638,0.871428,9.049534,2.243397
6,0.033633,0.272478,2.234401,0.011869,0.000026,2.683439,4.663914,0.090539,0.680051,5.203654,1.587400,0.156136,0.394178,2.360414,0.021349,0.003462,3.074853,4.720632,0.966511,0.777213,7.566457,2.004121
7,0.010233,0.272478,2.234401,0.011869,0.000026,2.683439,4.663914,0.090539,0.680051,5.180553,1.582750,0.082782,0.283171,2.249112,0.016842,0.000415,2.895787,4.675118,0.678239,0.707876,5.665256,1.725460
8,0.010233,0.272478,2.234401,0.011869,0.000026,2.683439,4.663586,0.090539,0.680051,5.180553,1.582718,0.030621,0.274587,2.243500,0.014436,0.000112,2.813877,4.665899,0.313543,0.680261,5.223592,1.626043
9,0.010233,0.272478,2.234401,0.011869,0.000004,2.010580,4.663586,0.083993,0.680051,5.175479,1.514267,0.023693,0.273336,2.236741,0.013548,0.000029,2.710435,4.664230,0.172803,0.680051,5.189524,1.596439
10,0.010233,0.272478,2.234401,0.011869,0.000002,2.010580,4.663586,0.083470,0.680051,5.175479,1.514215,0.015136,0.272623,2.235061,0.013012,0.000018,2.529305,4.663626,0.098083,0.680051,5.182641,1.568956
